"IdCliente","NombreEmpresa","NombreContacto","CargoContacto","Direccion","Ciudad","Region","CodPostal","Pais","Telefono","Fax"
"ALFKI","Alfreds Futterkiste","Maria Anders","Representante de ventas","Obere Str. 57","Berl?n",NULL,"12209","Alemania","030-0074321","030-0076545"
"ANATR","Ana Trujillo Emparedados y helados","Ana Trujillo","Propietario","Avda. de la Constituci?n 2222","M?xico D.F.",NULL,"05021","M?xico","(5) 555-4729","(5) 555-3745"
"ANTON","Antonio Moreno Taquer?a","Antonio Moreno","Propietario","Mataderos  2312","M?xico D.F.",NULL,"05023","M?xico","(5) 555-3932",NULL
"AROUT","Around the Horn","Thomas Hardy","Representante de ventas","120 Hanover Sq.","Londres",NULL,"WA1 1DP","Reino Unido","(71) 555-7788","(71) 555-6750"
"BERGS","Berglunds snabbk?p","Christina Berglund","Administrador de pedidos","Berguvsv?gen  8","Lule?",NULL,"S-958 22","Suecia","0921-12 34 65","0921-12 34 67"
"BLAUS","Blauer See Delikatessen","Hanna Moos","Representante de ventas","Forsterstr. 57","Mannheim",NULL,"68306","Alemania","0621-08460","0621-08924"
"BLONP","Blondel p?re et fils","Fr?d?rique Citeaux","Gerente de marketing","24, place Kl?ber","Estrasburgo",NULL,"67000","Francia","88.60.15.31","88.60.15.32"
"BOLID","B?lido Comidas preparadas","Mart?n Sommer","Propietario","C/ Araquil, 67","Madrid",NULL,"28023","Espa?a","(91) 555 22 82","(91) 555 91 99"
"BONAP","Bon app'","Laurence Lebihan","Propietario","12, rue des Bouchers","Marsella",NULL,"13008","Francia","91.24.45.40","91.24.45.41"
"BOTTM","Bottom-Dollar Markets","Elizabeth Lincoln","Gerente de contabilidad","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canad?","(604) 555-4729","(604) 555-3745"
"BSBEV","B's Beverages","Victoria Ashworth","Representante de ventas","Fauntleroy Circus","Londres",NULL,"EC2 5NT","Reino Unido","(71) 555-1212",NULL
"CACTU","Cactus Comidas para llevar","Patricio Simpson","Agente de ventas","Cerrito 333","Buenos Aires",NULL,"1010","Argentina","(1) 135-5555","(1) 135-4892"
"CENTC","Centro comercial Moctezuma","Francisco Chang","Gerente de marketing","Sierras de Granada 9993","M?xico D.F.",NULL,"05022","M?xico","(5) 555-3392","(5) 555-7293"
"CHOPS","Chop-suey Chinese","Yang Wang","Propietario","Hauptstr. 29","Berna",NULL,"3012","Suiza","0452-076545",NULL
"COMMI","Com?rcio Mineiro","Pedro Afonso","Asistente de ventas","Av. dos Lus?adas, 23","S?o Paulo","SP","05432-043","Brasil","(11) 555-7647",NULL
"CONSH","Consolidated Holdings","Elizabeth Brown","Representante de ventas","Berkeley Gardens12  Brewery ","Londres",NULL,"WX1 6LT","Reino Unido","(71) 555-2282","(71) 555-9199"
"DRACD","Drachenblut Delikatessen","Sven Ottlieb","Administrador de pedidos","Walserweg 21","Aachen",NULL,"52066","Alemania","0241-039123","0241-059428"
"DUMON","Du monde entier","Janine Labrune","Propietario","67, rue des Cinquante Otages","Nantes",NULL,"44000","Francia","40.67.88.88","40.67.89.89"
"EASTC","Eastern Connection","Ann Devon","Agente de ventas","35 King George","Londres",NULL,"WX3 6FW","Reino Unido","(71) 555-0297","(71) 555-3373"
"ERNSH","Ernst Handel","Roland Mendel","Gerente de ventas","Kirchgasse 6","Graz",NULL,"8010","Austria","7675-3425","7675-3426"
"FAMIA","Familia Arquibaldo","Aria Cruz","Asistente de marketing","Rua Or?s, 92","Sao Paulo","SP","05442-030","Brasil","(11) 555-9857",NULL
"FISSA","FISSA Fabrica Inter. Salchichas S.A.","Diego Roel","Gerente de contabilidad","C/ Moralzarzal, 86","Madrid",NULL,"28034","Espa?a","(91) 555 94 44","(91) 555 55 93"
"FOLIG","Folies gourmandes","Martine Ranc?","Asistente de agente de ventas","184, chauss?e de Tournai","Lille",NULL,"59000","Francia","20.16.10.16","20.16.10.17"
"FOLKO","Folk och f? HB","Maria Larsson","Propietario","?kergatan 24","Br?cke",NULL,"S-844 67","Suecia","0695-34 67 21",NULL
